"tamCacheL1=131072|AssocL1=16|tamBlocoL1=64","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","    64830902","       25095","    64805807","    55934606","     8871201","           0
"
"  Demand miss rate","      0.0229","      0.0000","      0.0783","      0.0856","      0.0510","      0.0000
"
"   Compulsory misses","     3110830","         547","     3110283","         198","     3110085","           0
"
"   Capacity misses","    61541974","       19938","    61522036","    55762133","     5759903","           0
"
"   Conflict misses","      178098","        4610","      173488","      172275","        1213","           0
"
"   Compulsory fraction","      0.0480","      0.0218","      0.0480","      0.0000","      0.3506","      0.0000
"
"   Capacity fraction","      0.9493","      0.7945","      0.9493","      0.9969","      0.6493","      0.0000
"
"   Conflict fraction","      0.0027","      0.1837","      0.0027","      0.0031","      0.0001","      0.0000
"
"tamCacheL2=262144|AssocL2=16|tamBlocoL2=64","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   238920422","       25095","   238895327","    64805807","   174089520","           0
"
"  Fraction of total","      1.0000","      0.0001","      0.9999","      0.2712","      0.7287","      0.0000
"
" Demand Misses","    64304543","       21752","    64282791","    64264826","       17965","           0
"
"  Demand miss rate","      0.2691","      0.8668","      0.2691","      0.9917","      0.0001","      0.0000
"
"   Compulsory misses","     3110830","         547","     3110283","     3110283","           0","           0
"
"   Capacity misses","    61140149","       20974","    61119175","    61101876","       17299","           0
"
"   Conflict misses","       53564","         231","       53333","       52667","         666","           0
"
"   Compulsory fraction","      0.0484","      0.0251","      0.0484","      0.0484","      0.0000","      0.0000
"
"   Capacity fraction","      0.9508","      0.9642","      0.9508","      0.9508","      0.9629","      0.0000
"
"   Conflict fraction","      0.0008","      0.0106","      0.0008","      0.0008","      0.0371","      0.0000
"
""
"tamCacheL1=4096|AssocL1=1|tamBlocoL1=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   283400965","   109086865","   174314100","   158209281","    16104819","           0
"
"  Demand miss rate","      0.1002","      0.0545","      0.2107","      0.2422","      0.0925","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","         124","     1555056","           0
"
"   Capacity misses","   128821605","    52084480","    76737125","    69771529","     6965596","           0
"
"   Conflict misses","   153023848","    57002053","    96021795","    88437628","     7584167","           0
"
"   Compulsory fraction","      0.0055","      0.0000","      0.0089","      0.0000","      0.0966","      0.0000
"
"   Capacity fraction","      0.4546","      0.4775","      0.4402","      0.4410","      0.4325","      0.0000
"
"   Conflict fraction","      0.5400","      0.5225","      0.5509","      0.5590","      0.4709","      0.0000
"
"tamCacheL2=262144|AssocL2=1|tamBlocoL2=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   457490485","   109086865","   348403620","   174314100","   174089520","           0
"
"  Fraction of total","      1.0000","      0.2384","      0.7616","      0.3810","      0.3805","      0.0000
"
" Demand Misses","    47171689","     1483953","    45687736","    45687736","           0","           0
"
"  Demand miss rate","      0.1031","      0.0136","      0.1311","      0.2621","      0.0000","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","     1555180","           0","           0
"
"   Capacity misses","    39910820","       10570","    39900250","    39900250","           0","           0
"
"   Conflict misses","     5705357","     1473051","     4232306","     4232306","           0","           0
"
"   Compulsory fraction","      0.0330","      0.0002","      0.0340","      0.0340","      0.0000","      0.0000
"
"   Capacity fraction","      0.8461","      0.0071","      0.8733","      0.8733","      0.0000","      0.0000
"
"   Conflict fraction","      0.1209","      0.9927","      0.0926","      0.0926","      0.0000","      0.0000
"
""
"tamCacheL1=4096|AssocL1=2|tamBlocoL1=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   167831284","    61524999","   106306285","    97098105","     9208180","           0
"
"  Demand miss rate","      0.0594","      0.0308","      0.1285","      0.1487","      0.0529","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","         124","     1555056","           0
"
"   Capacity misses","   134273177","    54493838","    79779339","    73242258","     6537081","           0
"
"   Conflict misses","    32002595","     7030829","    24971766","    23855723","     1116043","           0
"
"   Compulsory fraction","      0.0093","      0.0000","      0.0146","      0.0000","      0.1689","      0.0000
"
"   Capacity fraction","      0.8000","      0.8857","      0.7505","      0.7543","      0.7099","      0.0000
"
"   Conflict fraction","      0.1907","      0.1143","      0.2349","      0.2457","      0.1212","      0.0000
"
"tamCacheL2=262144|AssocL2=2|tamBlocoL2=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   341920804","    61524999","   280395805","   106306285","   174089520","           0
"
"  Fraction of total","      1.0000","      0.1799","      0.8201","      0.3109","      0.5092","      0.0000
"
" Demand Misses","    43296828","       71679","    43225149","    43225080","          69","           0
"
"  Demand miss rate","      0.1266","      0.0012","      0.1542","      0.4066","      0.0000","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","     1555180","           0","           0
"
"   Capacity misses","    39933013","       11693","    39921320","    39921317","           3","           0
"
"   Conflict misses","     1808303","       59654","     1748649","     1748583","          66","           0
"
"   Compulsory fraction","      0.0359","      0.0046","      0.0360","      0.0360","      0.0000","      0.0000
"
"   Capacity fraction","      0.9223","      0.1631","      0.9236","      0.9236","      0.0435","      0.0000
"
"   Conflict fraction","      0.0418","      0.8322","      0.0405","      0.0405","      0.9565","      0.0000
"
""
"tamCacheL1=131072|AssocL1=2|tamBlocoL1=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225315","  2000000000","   827225315","   653135793","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","    91229845","      124787","    91105058","    73353527","    17751531","           0
"
"  Demand miss rate","      0.0323","      0.0001","      0.1101","      0.1123","      0.1020","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","         315","     6220142","           0
"
"   Capacity misses","    83610848","       35477","    83575371","    72114156","    11461215","           0
"
"   Conflict misses","     1397620","       88390","     1309230","     1239056","       70174","           0
"
"   Compulsory fraction","      0.0682","      0.0074","      0.0683","      0.0000","      0.3504","      0.0000
"
"   Capacity fraction","      0.9165","      0.2843","      0.9174","      0.9831","      0.6456","      0.0000
"
"   Conflict fraction","      0.0153","      0.7083","      0.0144","      0.0169","      0.0040","      0.0000
"
"tamCacheL2=262144|AssocL2=2|tamBlocoL2=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   265319367","      124787","   265194580","    91105058","   174089522","           0
"
"  Fraction of total","      1.0000","      0.0005","      0.9995","      0.3434","      0.6562","      0.0000
"
" Demand Misses","    90085578","       67153","    90018425","    90001692","       16733","           0
"
"  Demand miss rate","      0.3395","      0.5381","      0.3394","      0.9879","      0.0001","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","     6220457","           0","           0
"
"   Capacity misses","    83292231","       41305","    83250926","    83244653","        6273","           0
"
"   Conflict misses","      571970","       24928","      547042","      536582","       10460","           0
"
"   Compulsory fraction","      0.0691","      0.0137","      0.0691","      0.0691","      0.0000","      0.0000
"
"   Capacity fraction","      0.9246","      0.6151","      0.9248","      0.9249","      0.3749","      0.0000
"
"   Conflict fraction","      0.0063","      0.3712","      0.0061","      0.0060","      0.6251","      0.0000
"
""
"tamCacheL1=16384|AssocL1=8|tamBlocoL1=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827436458","  2000000000","   827436458","   653346930","   174089528","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   165824281","     1514763","   164309518","   121209424","    43100094","           0
"
"  Demand miss rate","      0.0586","      0.0008","      0.1986","      0.1855","      0.2476","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","         862","    24880453","           0
"
"   Capacity misses","   139969308","     1072922","   138896386","   120793556","    18102830","           0
"
"   Conflict misses","      970743","      438926","      531817","      415006","      116811","           0
"
"   Compulsory fraction","      0.1501","      0.0019","      0.1514","      0.0000","      0.5773","      0.0000
"
"   Capacity fraction","      0.8441","      0.7083","      0.8453","      0.9966","      0.4200","      0.0000
"
"   Conflict fraction","      0.0059","      0.2898","      0.0032","      0.0034","      0.0027","      0.0000
"
"tamCacheL2=262144|AssocL2=8|tamBlocoL2=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   339913809","     1514763","   338399046","   164309518","   174089528","           0
"
"  Fraction of total","      1.0000","      0.0045","      0.9955","      0.4834","      0.5122","      0.0000
"
" Demand Misses","   153893091","      112272","   153780819","   153780816","           3","           0
"
"  Demand miss rate","      0.4527","      0.0741","      0.4544","      0.9359","      0.0000","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","    24881315","           0","           0
"
"   Capacity misses","   128937918","      108463","   128829455","   128829452","           3","           0
"
"   Conflict misses","       70943","         894","       70049","       70049","           0","           0
"
"   Compulsory fraction","      0.1617","      0.0260","      0.1618","      0.1618","      0.0000","      0.0000
"
"   Capacity fraction","      0.8378","      0.9661","      0.8377","      0.8377","      1.0000","      0.0000
"
"   Conflict fraction","      0.0005","      0.0080","      0.0005","      0.0005","      0.0000","      0.0000
"
""
"tamCacheL1=1024|AssocL1=1|tamBlocoL1=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225315","  2000000000","   827225315","   653135793","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   542883282","   247206454","   295676828","   246836868","    48839960","           0
"
"  Demand miss rate","      0.1920","      0.1236","      0.3574","      0.3779","      0.2805","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","         315","     6220142","           0
"
"   Capacity misses","   396411164","   194703266","   201707898","   174843841","    26864057","           0
"
"   Conflict misses","   140250741","    52502268","    87748473","    71992712","    15755761","           0
"
"   Compulsory fraction","      0.0115","      0.0000","      0.0210","      0.0000","      0.1274","      0.0000
"
"   Capacity fraction","      0.7302","      0.7876","      0.6822","      0.7083","      0.5500","      0.0000
"
"   Conflict fraction","      0.2583","      0.2124","      0.2968","      0.2917","      0.3226","      0.0000
"
"tamCacheL2=262144|AssocL2=1|tamBlocoL2=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","   716972804","   247206454","   469766350","   295676828","   174089522","           0
"
"  Fraction of total","      1.0000","      0.3448","      0.6552","      0.4124","      0.2428","      0.0000
"
" Demand Misses","    93805825","     1479117","    92326708","    92326708","           0","           0
"
"  Demand miss rate","      0.1308","      0.0060","      0.1965","      0.3123","      0.0000","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","     6220457","           0","           0
"
"   Capacity misses","    83155105","       34605","    83120500","    83120500","           0","           0
"
"   Conflict misses","     4429343","     1443592","     2985751","     2985751","           0","           0
"
"   Compulsory fraction","      0.0663","      0.0006","      0.0674","      0.0674","      0.0000","      0.0000
"
"   Capacity fraction","      0.8865","      0.0234","      0.9003","      0.9003","      0.0000","      0.0000
"
"   Conflict fraction","      0.0472","      0.9760","      0.0323","      0.0323","      0.0000","      0.0000
"
""
"tamCacheL1=1024|AssocL1=2|tamBlocoL1=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827419896","  2000000000","   827419896","   653330374","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   541258267","   270920651","   270337616","   212629139","    57708477","           0
"
"  Demand miss rate","      0.1914","      0.1355","      0.3267","      0.3255","      0.3315","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","         508","    12440245","           0
"
"   Capacity misses","   439726106","   231932079","   207794027","   170264960","    37529067","           0
"
"   Conflict misses","    89089829","    38986993","    50102836","    42363671","     7739165","           0
"
