"tamCacheL1=131072|AssocL1=16|tamBlocoL1=64","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","    64830902","       25095","    64805807","    55934606","     8871201","           0
"
"  Demand miss rate","      0.0229","      0.0000","      0.0783","      0.0856","      0.0510","      0.0000
"
"   Compulsory misses","     3110830","         547","     3110283","         198","     3110085","           0
"
"   Capacity misses","    61541974","       19938","    61522036","    55762133","     5759903","           0
"
"   Conflict misses","      178098","        4610","      173488","      172275","        1213","           0
"
"   Compulsory fraction","      0.0480","      0.0218","      0.0480","      0.0000","      0.3506","      0.0000
"
"   Capacity fraction","      0.9493","      0.7945","      0.9493","      0.9969","      0.6493","      0.0000
"
"   Conflict fraction","      0.0027","      0.1837","      0.0027","      0.0031","      0.0001","      0.0000
"
""
"tamCacheL1=4096|AssocL1=1|tamBlocoL1=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   283400965","   109086865","   174314100","   158209281","    16104819","           0
"
"  Demand miss rate","      0.1002","      0.0545","      0.2107","      0.2422","      0.0925","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","         124","     1555056","           0
"
"   Capacity misses","   128821605","    52084480","    76737125","    69771529","     6965596","           0
"
"   Conflict misses","   153023848","    57002053","    96021795","    88437628","     7584167","           0
"
"   Compulsory fraction","      0.0055","      0.0000","      0.0089","      0.0000","      0.0966","      0.0000
"
"   Capacity fraction","      0.4546","      0.4775","      0.4402","      0.4410","      0.4325","      0.0000
"
"   Conflict fraction","      0.5400","      0.5225","      0.5509","      0.5590","      0.4709","      0.0000
"
""
"tamCacheL1=4096|AssocL1=2|tamBlocoL1=128","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   167831284","    61524999","   106306285","    97098105","     9208180","           0
"
"  Demand miss rate","      0.0594","      0.0308","      0.1285","      0.1487","      0.0529","      0.0000
"
"   Compulsory misses","     1555512","         332","     1555180","         124","     1555056","           0
"
"   Capacity misses","   134273177","    54493838","    79779339","    73242258","     6537081","           0
"
"   Conflict misses","    32002595","     7030829","    24971766","    23855723","     1116043","           0
"
"   Compulsory fraction","      0.0093","      0.0000","      0.0146","      0.0000","      0.1689","      0.0000
"
"   Capacity fraction","      0.8000","      0.8857","      0.7505","      0.7543","      0.7099","      0.0000
"
"   Conflict fraction","      0.1907","      0.1143","      0.2349","      0.2457","      0.1212","      0.0000
"
""
"tamCacheL1=131072|AssocL1=2|tamBlocoL1=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225315","  2000000000","   827225315","   653135793","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","    91229845","      124787","    91105058","    73353527","    17751531","           0
"
"  Demand miss rate","      0.0323","      0.0001","      0.1101","      0.1123","      0.1020","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","         315","     6220142","           0
"
"   Capacity misses","    83610848","       35477","    83575371","    72114156","    11461215","           0
"
"   Conflict misses","     1397620","       88390","     1309230","     1239056","       70174","           0
"
"   Compulsory fraction","      0.0682","      0.0074","      0.0683","      0.0000","      0.3504","      0.0000
"
"   Capacity fraction","      0.9165","      0.2843","      0.9174","      0.9831","      0.6456","      0.0000
"
"   Conflict fraction","      0.0153","      0.7083","      0.0144","      0.0169","      0.0040","      0.0000
"
""
"tamCacheL1=16384|AssocL1=8|tamBlocoL1=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827436458","  2000000000","   827436458","   653346930","   174089528","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   165824281","     1514763","   164309518","   121209424","    43100094","           0
"
"  Demand miss rate","      0.0586","      0.0008","      0.1986","      0.1855","      0.2476","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","         862","    24880453","           0
"
"   Capacity misses","   139969308","     1072922","   138896386","   120793556","    18102830","           0
"
"   Conflict misses","      970743","      438926","      531817","      415006","      116811","           0
"
"   Compulsory fraction","      0.1501","      0.0019","      0.1514","      0.0000","      0.5773","      0.0000
"
"   Capacity fraction","      0.8441","      0.7083","      0.8453","      0.9966","      0.4200","      0.0000
"
"   Conflict fraction","      0.0059","      0.2898","      0.0032","      0.0034","      0.0027","      0.0000
"
""
"tamCacheL1=1024|AssocL1=1|tamBlocoL1=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225315","  2000000000","   827225315","   653135793","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   542883282","   247206454","   295676828","   246836868","    48839960","           0
"
"  Demand miss rate","      0.1920","      0.1236","      0.3574","      0.3779","      0.2805","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","         315","     6220142","           0
"
"   Capacity misses","   396411164","   194703266","   201707898","   174843841","    26864057","           0
"
"   Conflict misses","   140250741","    52502268","    87748473","    71992712","    15755761","           0
"
"   Compulsory fraction","      0.0115","      0.0000","      0.0210","      0.0000","      0.1274","      0.0000
"
"   Capacity fraction","      0.7302","      0.7876","      0.6822","      0.7083","      0.5500","      0.0000
"
"   Conflict fraction","      0.2583","      0.2124","      0.2968","      0.2917","      0.3226","      0.0000
"
""
"tamCacheL1=1024|AssocL1=2|tamBlocoL1=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827419896","  2000000000","   827419896","   653330374","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   541258267","   270920651","   270337616","   212629139","    57708477","           0
"
"  Demand miss rate","      0.1914","      0.1355","      0.3267","      0.3255","      0.3315","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","         508","    12440245","           0
"
"   Capacity misses","   439726106","   231932079","   207794027","   170264960","    37529067","           0
"
"   Conflict misses","    89089829","    38986993","    50102836","    42363671","     7739165","           0
"
"   Compulsory fraction","      0.0230","      0.0000","      0.0460","      0.0000","      0.2156","      0.0000
"
"   Capacity fraction","      0.8124","      0.8561","      0.7686","      0.8008","      0.6503","      0.0000
"
"   Conflict fraction","      0.1646","      0.1439","      0.1853","      0.1992","      0.1341","      0.0000
"
""
"tamCacheL1=131072|AssocL1=4|tamBlocoL1=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827419896","  2000000000","   827419896","   653330374","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   117034008","       68297","   116965711","    89069119","    27896592","           0
"
"  Demand miss rate","      0.0414","      0.0000","      0.1414","      0.1363","      0.1602","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","         508","    12440245","           0
"
"   Capacity misses","   104327274","       59929","   104267345","    88821755","    15445590","           0
"
"   Conflict misses","      264402","        6789","      257613","      246856","       10757","           0
"
"   Compulsory fraction","      0.1063","      0.0231","      0.1064","      0.0000","      0.4459","      0.0000
"
"   Capacity fraction","      0.8914","      0.8775","      0.8914","      0.9972","      0.5537","      0.0000
"
"   Conflict fraction","      0.0023","      0.0994","      0.0022","      0.0028","      0.0004","      0.0000
"
""
"tamCacheL1=16384|AssocL1=1|tamBlocoL1=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225315","  2000000000","   827225315","   653135793","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   159342030","    37774111","   121567919","    96794545","    24773374","           0
"
"  Demand miss rate","      0.0564","      0.0189","      0.1470","      0.1482","      0.1423","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","         315","     6220142","           0
"
"   Capacity misses","    92010516","      540340","    91470176","    79247017","    12223159","           0
"
"   Conflict misses","    61110137","    37232851","    23877286","    17547213","     6330073","           0
"
"   Compulsory fraction","      0.0390","      0.0000","      0.0512","      0.0000","      0.2511","      0.0000
"
"   Capacity fraction","      0.5774","      0.0143","      0.7524","      0.8187","      0.4934","      0.0000
"
"   Conflict fraction","      0.3835","      0.9857","      0.1964","      0.1813","      0.2555","      0.0000
"
""
"tamCacheL1=131072|AssocL1=2|tamBlocoL1=8","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827436458","  2000000000","   827436458","   653346930","   174089528","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   154913395","      179070","   154734325","   113271385","    41462940","           0
"
"  Demand miss rate","      0.0548","      0.0001","      0.1870","      0.1734","      0.2382","      0.0000
"
"   Compulsory misses","    24884230","        2915","    24881315","         862","    24880453","           0
"
"   Capacity misses","   129183582","      107577","   129076005","   112595068","    16480937","           0
"
"   Conflict misses","      845583","       68578","      777005","      675455","      101550","           0
"
"   Compulsory fraction","      0.1606","      0.0163","      0.1608","      0.0000","      0.6001","      0.0000
"
"   Capacity fraction","      0.8339","      0.6008","      0.8342","      0.9940","      0.3975","      0.0000
"
"   Conflict fraction","      0.0055","      0.3830","      0.0050","      0.0060","      0.0024","      0.0000
"
""
"tamCacheL1=65536|AssocL1=8|tamBlocoL1=16","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827419896","  2000000000","   827419896","   653330374","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2311","      0.0616","      0.0000
"
" Demand Misses","   117721742","      115914","   117605828","    89674946","    27930882","           0
"
"  Demand miss rate","      0.0416","      0.0001","      0.1421","      0.1373","      0.1604","      0.0000
"
"   Compulsory misses","    12442332","        1579","    12440753","         508","    12440245","           0
"
"   Capacity misses","   104660594","       61446","   104599148","    89144957","    15454191","           0
"
"   Conflict misses","      618816","       52889","      565927","      529481","       36446","           0
"
"   Compulsory fraction","      0.1057","      0.0136","      0.1058","      0.0000","      0.4454","      0.0000
"
"   Capacity fraction","      0.8891","      0.5301","      0.8894","      0.9941","      0.5533","      0.0000
"
"   Conflict fraction","      0.0053","      0.4563","      0.0048","      0.0059","      0.0013","      0.0000
"
""
"tamCacheL1=4096|AssocL1=4|tamBlocoL1=32","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225315","  2000000000","   827225315","   653135793","   174089522","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","   233579525","   100024107","   133555418","   107552797","    26002621","           0
"
"  Demand miss rate","      0.0826","      0.0500","      0.1614","      0.1647","      0.1494","      0.0000
"
"   Compulsory misses","     6221377","         920","     6220457","         315","     6220142","           0
"
"   Capacity misses","   202929485","    87312596","   115616889","    99574493","    16042396","           0
"
"   Conflict misses","    24428663","    12710591","    11718072","     7977989","     3740083","           0
"
"   Compulsory fraction","      0.0266","      0.0000","      0.0466","      0.0000","      0.2392","      0.0000
"
"   Capacity fraction","      0.8688","      0.8729","      0.8657","      0.9258","      0.6170","      0.0000
"
"   Conflict fraction","      0.1046","      0.1271","      0.0877","      0.0742","      0.1438","      0.0000
"
""
"tamCacheL1=16384|AssocL1=4|tamBlocoL1=64","Total","Instrn","Data","Read","Write","Misc"
" Demand Fetches","  2827225313","  2000000000","   827225313","   653135793","   174089520","           0
"
"  Fraction of total","      1.0000","      0.7074","      0.2926","      0.2310","      0.0616","      0.0000
"
" Demand Misses","    82616337","     9686441","    72929896","    63354813","     9575083","           0
"
"  Demand miss rate","      0.0292","      0.0048","      0.0882","      0.0970","      0.0550","      0.0000
"
"   Compulsory misses","     3110830","         547","     3110283","         198","     3110085","           0
"
